date,finra_D,finra_CC,finra_CM,vix_index,sp500_index,m2_money_supply,federal_funds_rate,market_cap
2011-01-01,326868,130894,173545.0,17.75,1257.6400146484375,8822.7,0.13,503056.005859375
2010-12-01,313678,126098,182426.0,23.540000915527344,1180.550048828125,8789.0,0.2,472220.01953125
2010-11-01,309340,119305,176805.0,21.200000762939453,1183.260009765625,8768.4,0.2,473304.00390625
2010-10-01,303428,114784,176588.0,23.700000762939453,1141.199951171875,8718.7,0.15,456479.98046875
2010-09-01,288540,114321,173544.0,26.049999237060547,1049.3299560546875,8687.9,0.21,419731.982421875
2010-08-01,268371,106870,174209.0,23.5,1101.5999755859375,8639.5,0.18,440639.990234375
2010-07-01,267468,106290,172179.0,34.540000915527344,1030.7099609375,8628.1,0.09,412283.984375
2010-06-01,263202,114265,172908.0,32.06999969482422,1089.4100341796875,8609.0,0.19,435764.013671875
2010-05-01,268566,114051,166706.0,22.049999237060547,1186.68994140625,8554.8,0.2,474675.9765625
2010-04-01,295550,111217,160630.0,17.59000015258789,1169.4300537109375,8523.5,0.09,467772.021484375
2010-03-01,277798,108908,162169.0,19.5,1104.489990234375,8527.3,0.13,441795.99609375
2010-02-01,263657,106131,164624.0,,,8477.7,0.12,
